id,dirreccion,barrio,comuna,geometry
1,Fray Cayetano Rodriguez y Yerbal,Flores,Comuna 7,POINT (-58.46317612013668 -34.627641876107376)
2,"Gallardo, Angel Av. 13",Villa Crespo,Comuna 15,POINT (-58.432642817529896 -34.60225524981271)
3,Serrano 19,Villa Crespo,Comuna 15,POINT (-58.44731864904782 -34.600264994990255)
4,San Pedrito Av. 67,Flores,Comuna 7,POINT (-58.46937371170088 -34.63155019370466)
5,Corrientes Av. 106,San Nicolas,Comuna 1,POINT (-58.36955696664682 -34.603021263887705)
6,Pirovano 113,Nueva Pompeya,Comuna 4,POINT (-58.420547015117855 -34.64140514320622)
7,"Irigoyen, Bernardo De 222",Monserrat,Comuna 1,POINT (-58.3805393991968 -34.611043154224355)
8,Ayacucho 235,Balvanera,Comuna 3,POINT (-58.39501719515092 -34.60675150555483)
9,"Anchorena, Tomas Manuel De, Dr. 281",Balvanera,Comuna 3,POINT (-58.41145473847974 -34.60677817843814)
10,Pasco 350,Balvanera,Comuna 3,POINT (-58.397411140655585 -34.61359037138304)
11,San Juan Av. 387,San Telmo,Comuna 1,POINT (-58.371145470523366 -34.621732139587564)
12,"Perez Galdos, Benito Av. 391",La Boca,Comuna 4,POINT (-58.360760720246326 -34.631633367453404)
13,"Alvear, Marcelo T. De 399",Retiro,Comuna 1,POINT (-58.372949832220876 -34.59612385677308)
14,Estados Unidos 408,San Telmo,Comuna 1,POINT (-58.37181014942582 -34.61851239596495)
15,Saraza 427,Parque Chacabuco,Comuna 7,POINT (-58.42484536352865 -34.63680179385774)
16,Cerrito 454,San Nicolas,Comuna 1,POINT (-58.38230676572788 -34.603023274123515)
17,Balcarce 472,Monserrat,Comuna 1,POINT (-58.37070130119535 -34.6132326767451)
18,Paraguay 480,Retiro,Comuna 1,POINT (-58.37395842220583 -34.59743027195995)
19,San Jose 295,Monserrat,Comuna 1,POINT (-58.38620110775934 -34.61211745558658)
20,"Pellegrini, Carlos 495",San Nicolas,Comuna 1,POINT (-58.38098678653676 -34.60265231405823)
21,Aguero 508,Balvanera,Comuna 3,POINT (-58.411756911622646 -34.60392363981977)
22,Esmeralda 523,San Nicolas,Comuna 1,POINT (-58.3780989334675 -34.60219736932994)
23,Balcarce 563,Monserrat,Comuna 1,POINT (-58.37074463917324 -34.614358453992566)
24,"Roca, Julio A., Presidente Diagonal Sur Av. 568",Monserrat,Comuna 1,POINT (-58.37430101947589 -34.60994460037182)
25,"Anchorena, Tomas Manuel De, Dr. 571",Balvanera,Comuna 3,POINT (-58.409886251995985 -34.60291442517405)
26,Paraguay 578,Retiro,Comuna 1,POINT (-58.3751778029011 -34.59751170175565)
27,De Mayo Av. 621,Monserrat,Comuna 1,POINT (-58.37523216187205 -34.60861683666575)
28,"Alvear, Marcelo T. De 632",Retiro,Comuna 1,POINT (-58.375849531601695 -34.59637349974991)
29,Fragata Pres. Sarmiento 679,Caballito,Comuna 6,POINT (-58.45185418368724 -34.61595018513593)
30,Balcarce 698,Monserrat,Comuna 1,POINT (-58.370525847223455 -34.6157459651986)
31,"Lobos, Eleodoro, Dr. 729",Caballito,Comuna 6,POINT (-58.437048162162014 -34.60953732888696)
32,De Mayo Av. 795,Monserrat,Comuna 1,POINT (-58.37757778061253 -34.60870059833994)
33,Saenz Av. 871,Nueva Pompeya,Comuna 4,POINT (-58.416476493300735 -34.65034657896865)
34,Muñecas 890,Villa Crespo,Comuna 15,POINT (-58.44659721479456 -34.59988259571999)
35,Cordoba Av. 890,San Nicolas,Comuna 1,POINT (-58.37951861401659 -34.59903935799918)
36,Echeverria 955,Belgrano,Comuna 13,POINT (-58.44083994360942 -34.55397495823094)
37,Fitz Roy 958,Chacarita,Comuna 15,POINT (-58.44369058109739 -34.59002831433068)
38,"Alsina, Adolfo 958",Monserrat,Comuna 1,POINT (-58.3799254716965 -34.610705109150636)
39,"Sanchez, Miguel B. Av. 1041",Nuñez,Comuna 13,POINT (-58.45549875593547 -34.5425179133541)
40,Cerrito 1118,Retiro,Comuna 1,POINT (-58.38279344327325 -34.59529466839284)
41,O'Brien 1160,Constitucion,Comuna 1,POINT (-58.381899666345895 -34.62905484482576)
42,Terrada 1164,Villa Santa Rita,Comuna 11,POINT (-58.4734084639947 -34.61933144679631)
43,"Moreno, Jose Maria Av. 1216",Parque Chacabuco,Comuna 7,POINT (-58.43280487329696 -34.632730720575445)
44,"Salguero, Jeronimo 1216",Palermo,Comuna 14,POINT (-58.41874872906069 -34.59632709817075)
45,O'Brien 1224,Constitucion,Comuna 1,POINT (-58.383096599913245 -34.629100392845984)
46,Chacabuco 1236,San Telmo,Comuna 1,POINT (-58.37557008225197 -34.622505145705254)
47,"Acuña De Figueroa, Francisco 1264",Palermo,Comuna 14,POINT (-58.42167392069472 -34.59688356927762)
48,Corrientes Av. 1344,San Nicolas,Comuna 1,POINT (-58.38575941404545 -34.604024242750526)
49,Caseros Av. 1400,Barracas,Comuna 4,POINT (-58.382515984945194 -34.631805155964734)
50,"Irigoyen, Bernardo De 1480",Constitucion,Comuna 1,POINT (-58.379038281032585 -34.625759929064785)
51,La Plata Av. 1542,Boedo,Comuna 5,POINT (-58.42526184992027 -34.632998768436686)
52,Serrano 1565,Palermo,Comuna 14,POINT (-58.43015271136536 -34.58894568734162)
53,Guevara 1584,Villa Ortuzar,Comuna 15,POINT (-58.46590605464679 -34.58392054701436)
54,Lope De Vega Av. 1614,Villa Luro,Comuna 10,POINT (-58.510832626566796 -34.62498433551194)
55,Pueyrredon Av. 1638,Recoleta,Comuna 2,POINT (-58.401329988545626 -34.59194589506564)
56,"Alvarez, Donato, Tte. Gral. 1666",Villa Gral. Mitre,Comuna 11,POINT (-58.462477441247955 -34.60798040316134)
57,Entre Rios Av. 1691,Parque Patricios,Comuna 4,POINT (-58.391164157065845 -34.62831828083739)
58,La Plata Av. 1700,Boedo,Comuna 5,POINT (-58.424635097185934 -34.635619249114946)
59,Entre Rios Av. 1738,Constitucion,Comuna 1,POINT (-58.390909104984516 -34.62862513157867)
60,Tacuari 1827,Barracas,Comuna 4,POINT (-58.37514825330744 -34.629604254331994)
61,Independencia Av. 1839,Balvanera,Comuna 3,POINT (-58.392444403894416 -34.618104136265934)
62,Avellaneda Av. 1851,Flores,Comuna 7,POINT (-58.45684914108336 -34.621384891221616)
63,Lima 1875,Constitucion,Comuna 1,POINT (-58.38142101585352 -34.629751027173505)
64,Combate De Los Pozos 1881,Parque Patricios,Comuna 4,POINT (-58.39153054114442 -34.63083028591105)
65,"Lopez, Vicente 1989",Recoleta,Comuna 2,POINT (-58.39284226224921 -34.58928744170332)
66,Directorio Av. 2009,Flores,Comuna 7,POINT (-58.455683474055704 -34.631822046131006)
67,Segurola Av. 2172,Monte Castro,Comuna 10,POINT (-58.50400604718266 -34.616428868140375)
68,"Lopez, Vicente 2188",Recoleta,Comuna 2,POINT (-58.395154797566164 -34.588012444953385)
69,Gaona Av. 2197,Caballito,Comuna 6,POINT (-58.45827049777265 -34.613359356194465)
70,Paraguay 2351,Recoleta,Comuna 2,POINT (-58.40138700140641 -34.597848379998254)
71,Moreno 2353,Balvanera,Comuna 3,POINT (-58.39958825360675 -34.613161349069976)
72,Montañeses 2361,Belgrano,Comuna 13,POINT (-58.45101991645585 -34.554880296356764)
73,Alvarez Thomas Av. 2376,Villa Ortuzar,Comuna 15,POINT (-58.474917905489875 -34.57741350674905)
74,Independencia Av. 2389,Balvanera,Comuna 3,POINT (-58.39982943766676 -34.61849702458661)
75,"Peron, Juan Domingo, Tte. General 2823",Balvanera,Comuna 3,POINT (-58.40686345659765 -34.60773154452371)
76,"Zabala, Joaquin, Dr. 2800",Paternal,Comuna 15,POINT (-58.477093461955846 -34.59511122218264)
77,Sinclair 2924,Palermo,Comuna 14,POINT (-58.42406407972782 -34.575891114478566)
78,San Martin De Tours 2990,Palermo,Comuna 14,POINT (-58.40376069927324 -34.57780642226437)
79,Cuenca 3004,Villa Del Parque,Comuna 11,POINT (-58.49477778995239 -34.60214033653753)
80,Agrelo 3076,Balvanera,Comuna 3,POINT (-58.409090810351984 -34.617550444846486)
81,Cuenca 3158,Villa Del Parque,Comuna 11,POINT (-58.495687550338396 -34.600928369053484)
82,Estados Unidos 3205,San Cristobal,Comuna 3,POINT (-58.41111602706786 -34.6215826422879)
83,Nazarre 3225,Villa Del Parque,Comuna 11,POINT (-58.495006186391734 -34.60240660415549)
84,Corrientes Av. 3247,Balvanera,Comuna 3,POINT (-58.41067394280144 -34.6039513497684)
85,Desaguadero 3363,Villa Devoto,Comuna 11,POINT (-58.51681906273978 -34.61106069315429)
86,Cerviño Av. 3371,Palermo,Comuna 14,POINT (-58.40675835146947 -34.58093927830527)
87,"Cabrera, Jose A. 3380",Recoleta,Comuna 2,POINT (-58.4139722585396 -34.59682826030102)
88,Belgrano Av. 3402,Almagro,Comuna 5,POINT (-58.41456641832854 -34.61562263559319)
89,Cordoba Av. 3540,Almagro,Comuna 5,POINT (-58.41652655817869 -34.597926620314546)
90,Belgrano Av. 3500,Almagro,Comuna 5,POINT (-58.415628741764635 -34.61568673260226)
91,"Newbery, Jorge Av. 3546",Chacarita,Comuna 15,POINT (-58.44897757318485 -34.583330489823275)
92,"Cortejarena, Jose A. 3586",Parque Patricios,Comuna 4,POINT (-58.413030442314984 -34.643575642631426)
93,Diaz Velez Av. 3679,Almagro,Comuna 5,POINT (-58.41843387553918 -34.60844963190098)
94,Alvarez Jonte Av. 3751,Villa Del Parque,Comuna 11,POINT (-58.49422156875315 -34.61361809287375)
95,Triunvirato Av. 3800,Parque Chas,Comuna 15,POINT (-58.47492137264107 -34.5807307412244)
96,Chivilcoy Av. 3855,Villa Devoto,Comuna 11,POINT (-58.511199393835625 -34.60033813724276)
97,Del Libertador Av. 3874,Palermo,Comuna 14,POINT (-58.42254027776425 -34.57164257325996)
98,Independencia Av. 3919,Almagro,Comuna 5,POINT (-58.42086216866456 -34.62120381509097)
99,Independencia Av. 3969,Almagro,Comuna 5,POINT (-58.4216879879803 -34.621259572010956)
100,"Roca, Cnel. Av. 4208",Villa Soldati,Comuna 8,POINT (-58.44751313604528 -34.675558254710644)
101,Diaz Velez Av. 4286,Almagro,Comuna 5,POINT (-58.42744531919798 -34.60877373623235)
