id,dirreccion,barrio,comuna,geometry,lat,lon,cluster
1,Fray Cayetano Rodriguez y Yerbal,Flores,Comuna 7,POINT (-58.46317612013668 -34.627641876107376),-34.627641876107376,-58.46317612013668,6
2,"Gallardo, Angel Av. 13",Villa Crespo,Comuna 15,POINT (-58.432642817529896 -34.60225524981271),-34.60225524981271,-58.432642817529896,8
3,Serrano 19,Villa Crespo,Comuna 15,POINT (-58.44731864904782 -34.600264994990255),-34.600264994990255,-58.44731864904782,8
4,San Pedrito Av. 67,Flores,Comuna 7,POINT (-58.46937371170088 -34.63155019370466),-34.63155019370466,-58.46937371170088,6
5,Corrientes Av. 106,San Nicolas,Comuna 1,POINT (-58.36955696664682 -34.603021263887705),-34.603021263887705,-58.36955696664682,0
6,Pirovano 113,Nueva Pompeya,Comuna 4,POINT (-58.420547015117855 -34.64140514320622),-34.64140514320622,-58.420547015117855,2
7,"Irigoyen, Bernardo De 222",Monserrat,Comuna 1,POINT (-58.3805393991968 -34.611043154224355),-34.611043154224355,-58.3805393991968,0
8,Ayacucho 235,Balvanera,Comuna 3,POINT (-58.39501719515092 -34.60675150555483),-34.60675150555483,-58.39501719515092,0
9,"Anchorena, Tomas Manuel De, Dr. 281",Balvanera,Comuna 3,POINT (-58.41145473847974 -34.60677817843814),-34.60677817843814,-58.41145473847974,2
10,Pasco 350,Balvanera,Comuna 3,POINT (-58.397411140655585 -34.61359037138304),-34.61359037138304,-58.397411140655585,2
11,San Juan Av. 387,San Telmo,Comuna 1,POINT (-58.371145470523366 -34.621732139587564),-34.621732139587564,-58.371145470523366,4
12,"Perez Galdos, Benito Av. 391",La Boca,Comuna 4,POINT (-58.360760720246326 -34.631633367453404),-34.631633367453404,-58.360760720246326,4
13,"Alvear, Marcelo T. De 399",Retiro,Comuna 1,POINT (-58.372949832220876 -34.59612385677308),-34.59612385677308,-58.372949832220876,0
14,Estados Unidos 408,San Telmo,Comuna 1,POINT (-58.37181014942582 -34.61851239596495),-34.61851239596495,-58.37181014942582,4
15,Saraza 427,Parque Chacabuco,Comuna 7,POINT (-58.42484536352865 -34.63680179385774),-34.63680179385774,-58.42484536352865,2
16,Cerrito 454,San Nicolas,Comuna 1,POINT (-58.38230676572788 -34.603023274123515),-34.603023274123515,-58.38230676572788,0
17,Balcarce 472,Monserrat,Comuna 1,POINT (-58.37070130119535 -34.6132326767451),-34.6132326767451,-58.37070130119535,0
18,Paraguay 480,Retiro,Comuna 1,POINT (-58.37395842220583 -34.59743027195995),-34.59743027195995,-58.37395842220583,0
19,San Jose 295,Monserrat,Comuna 1,POINT (-58.38620110775934 -34.61211745558658),-34.61211745558658,-58.38620110775934,0
20,"Pellegrini, Carlos 495",San Nicolas,Comuna 1,POINT (-58.38098678653676 -34.60265231405823),-34.60265231405823,-58.38098678653676,0
21,Aguero 508,Balvanera,Comuna 3,POINT (-58.411756911622646 -34.60392363981977),-34.60392363981977,-58.411756911622646,5
22,Esmeralda 523,San Nicolas,Comuna 1,POINT (-58.3780989334675 -34.60219736932994),-34.60219736932994,-58.3780989334675,0
23,Balcarce 563,Monserrat,Comuna 1,POINT (-58.37074463917324 -34.614358453992566),-34.614358453992566,-58.37074463917324,0
24,"Roca, Julio A., Presidente Diagonal Sur Av. 568",Monserrat,Comuna 1,POINT (-58.37430101947589 -34.60994460037182),-34.60994460037182,-58.37430101947589,0
25,"Anchorena, Tomas Manuel De, Dr. 571",Balvanera,Comuna 3,POINT (-58.409886251995985 -34.60291442517405),-34.60291442517405,-58.409886251995985,5
26,Paraguay 578,Retiro,Comuna 1,POINT (-58.3751778029011 -34.59751170175565),-34.59751170175565,-58.3751778029011,0
27,De Mayo Av. 621,Monserrat,Comuna 1,POINT (-58.37523216187205 -34.60861683666575),-34.60861683666575,-58.37523216187205,0
28,"Alvear, Marcelo T. De 632",Retiro,Comuna 1,POINT (-58.375849531601695 -34.59637349974991),-34.59637349974991,-58.375849531601695,0
29,Fragata Pres. Sarmiento 679,Caballito,Comuna 6,POINT (-58.45185418368724 -34.61595018513593),-34.61595018513593,-58.45185418368724,6
30,Balcarce 698,Monserrat,Comuna 1,POINT (-58.370525847223455 -34.6157459651986),-34.6157459651986,-58.370525847223455,4
31,"Lobos, Eleodoro, Dr. 729",Caballito,Comuna 6,POINT (-58.437048162162014 -34.60953732888696),-34.60953732888696,-58.437048162162014,8
32,De Mayo Av. 795,Monserrat,Comuna 1,POINT (-58.37757778061253 -34.60870059833994),-34.60870059833994,-58.37757778061253,0
33,Saenz Av. 871,Nueva Pompeya,Comuna 4,POINT (-58.416476493300735 -34.65034657896865),-34.65034657896865,-58.416476493300735,2
34,Muñecas 890,Villa Crespo,Comuna 15,POINT (-58.44659721479456 -34.59988259571999),-34.59988259571999,-58.44659721479456,8
35,Cordoba Av. 890,San Nicolas,Comuna 1,POINT (-58.37951861401659 -34.59903935799918),-34.59903935799918,-58.37951861401659,0
36,Echeverria 955,Belgrano,Comuna 13,POINT (-58.44083994360942 -34.55397495823094),-34.55397495823094,-58.44083994360942,7
37,Fitz Roy 958,Chacarita,Comuna 15,POINT (-58.44369058109739 -34.59002831433068),-34.59002831433068,-58.44369058109739,8
38,"Alsina, Adolfo 958",Monserrat,Comuna 1,POINT (-58.3799254716965 -34.610705109150636),-34.610705109150636,-58.3799254716965,0
39,"Sanchez, Miguel B. Av. 1041",Nuñez,Comuna 13,POINT (-58.45549875593547 -34.5425179133541),-34.5425179133541,-58.45549875593547,7
40,Cerrito 1118,Retiro,Comuna 1,POINT (-58.38279344327325 -34.59529466839284),-34.59529466839284,-58.38279344327325,0
41,O'Brien 1160,Constitucion,Comuna 1,POINT (-58.381899666345895 -34.62905484482576),-34.62905484482576,-58.381899666345895,4
42,Terrada 1164,Villa Santa Rita,Comuna 11,POINT (-58.4734084639947 -34.61933144679631),-34.61933144679631,-58.4734084639947,6
43,"Moreno, Jose Maria Av. 1216",Parque Chacabuco,Comuna 7,POINT (-58.43280487329696 -34.632730720575445),-34.632730720575445,-58.43280487329696,2
44,"Salguero, Jeronimo 1216",Palermo,Comuna 14,POINT (-58.41874872906069 -34.59632709817075),-34.59632709817075,-58.41874872906069,5
45,O'Brien 1224,Constitucion,Comuna 1,POINT (-58.383096599913245 -34.629100392845984),-34.629100392845984,-58.383096599913245,4
46,Chacabuco 1236,San Telmo,Comuna 1,POINT (-58.37557008225197 -34.622505145705254),-34.622505145705254,-58.37557008225197,4
47,"Acuña De Figueroa, Francisco 1264",Palermo,Comuna 14,POINT (-58.42167392069472 -34.59688356927762),-34.59688356927762,-58.42167392069472,8
48,Corrientes Av. 1344,San Nicolas,Comuna 1,POINT (-58.38575941404545 -34.604024242750526),-34.604024242750526,-58.38575941404545,0
49,Caseros Av. 1400,Barracas,Comuna 4,POINT (-58.382515984945194 -34.631805155964734),-34.631805155964734,-58.382515984945194,4
50,"Irigoyen, Bernardo De 1480",Constitucion,Comuna 1,POINT (-58.379038281032585 -34.625759929064785),-34.625759929064785,-58.379038281032585,4
51,La Plata Av. 1542,Boedo,Comuna 5,POINT (-58.42526184992027 -34.632998768436686),-34.632998768436686,-58.42526184992027,2
52,Serrano 1565,Palermo,Comuna 14,POINT (-58.43015271136536 -34.58894568734162),-34.58894568734162,-58.43015271136536,8
53,Guevara 1584,Villa Ortuzar,Comuna 15,POINT (-58.46590605464679 -34.58392054701436),-34.58392054701436,-58.46590605464679,1
54,Lope De Vega Av. 1614,Villa Luro,Comuna 10,POINT (-58.510832626566796 -34.62498433551194),-34.62498433551194,-58.510832626566796,3
55,Pueyrredon Av. 1638,Recoleta,Comuna 2,POINT (-58.401329988545626 -34.59194589506564),-34.59194589506564,-58.401329988545626,5
56,"Alvarez, Donato, Tte. Gral. 1666",Villa Gral. Mitre,Comuna 11,POINT (-58.462477441247955 -34.60798040316134),-34.60798040316134,-58.462477441247955,6
57,Entre Rios Av. 1691,Parque Patricios,Comuna 4,POINT (-58.391164157065845 -34.62831828083739),-34.62831828083739,-58.391164157065845,4
58,La Plata Av. 1700,Boedo,Comuna 5,POINT (-58.424635097185934 -34.635619249114946),-34.635619249114946,-58.424635097185934,2
59,Entre Rios Av. 1738,Constitucion,Comuna 1,POINT (-58.390909104984516 -34.62862513157867),-34.62862513157867,-58.390909104984516,4
60,Tacuari 1827,Barracas,Comuna 4,POINT (-58.37514825330744 -34.629604254331994),-34.629604254331994,-58.37514825330744,4
